,WhiteWinLoss
0,0
1,0
2,1
3,1
4,1
5,1
6,0
7,0
8,0
9,1
10,1
11,0
12,1
13,0
14,1
15,0
16,0
17,0
18,0
19,0
20,0
21,1
22,1
23,0
24,0
25,0
26,1
27,1
28,0
29,0
30,1
31,0
32,0
33,1
34,1
35,1
36,0
37,1
38,0
39,1
40,0
41,0
42,0
43,1
44,1
45,1
46,0
47,1
48,0
49,1
50,0
51,1
52,0
53,0
54,0
55,1
56,0
57,0
58,1
59,0
60,1
61,0
62,1
63,1
64,1
65,1
66,1
67,1
68,0
69,0
70,1
71,0
72,0
73,0
74,1
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,1
85,0
86,1
87,0
88,0
89,0
90,0
91,0
92,1
93,0
94,0
95,1
96,0
97,0
98,0
99,1
100,1
101,1
102,0
103,0
104,0
105,1
106,1
107,0
108,1
109,0
110,0
111,1
112,1
113,0
114,0
115,1
116,0
117,0
118,1
119,0
120,0
121,0
122,0
123,1
124,0
125,1
126,1
127,0
128,0
129,0
130,1
131,0
132,1
133,0
134,1
135,1
136,0
137,0
138,1
139,0
140,0
141,0
142,0
143,1
144,0
145,1
146,0
147,1
148,0
149,0
150,0
151,1
152,1
153,1
154,0
155,1
156,0
157,0
158,0
159,1
160,0
161,0
162,0
163,0
164,1
165,0
166,1
167,0
168,1
169,0
170,0
171,0
172,1
173,1
174,0
175,0
176,0
177,1
178,0
179,0
180,0
181,0
182,1
183,0
184,0
185,0
186,0
187,1
188,0
189,0
190,1
191,0
192,1
193,0
194,1
195,1
196,1
197,0
198,0
199,0
200,0
201,1
202,0
203,1
204,0
205,0
206,1
207,0
208,1
209,1
210,1
211,0
212,0
213,0
214,1
215,1
216,0
217,0
218,0
219,0
220,1
221,1
222,1
223,0
224,1
225,0
226,0
227,0
228,0
229,1
230,1
231,0
232,0
233,0
234,0
235,0
236,0
237,1
238,0
239,0
240,0
241,0
242,1
243,0
244,0
245,0
246,0
247,1
248,0
249,0
250,0
251,0
252,1
253,0
254,0
255,1
256,0
257,1
258,1
259,1
260,0
261,0
262,1
263,0
264,0
265,0
266,0
267,0
268,1
269,1
270,1
271,0
272,1
273,1
274,1
275,1
276,1
277,1
278,0
279,1
280,0
281,0
282,0
283,1
284,1
285,0
286,0
287,0
288,1
289,1
290,0
291,1
292,1
293,1
294,1
295,1
296,0
297,1
298,0
299,0
300,1
301,0
302,1
303,0
304,1
305,0
306,1
307,0
308,0
309,1
310,0
311,1
312,0
313,0
314,0
315,1
316,1
317,1
318,0
319,1
320,0
321,1
322,0
323,0
324,0
325,0
326,1
327,1
328,0
329,1
330,0
331,1
332,1
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,1
341,1
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,1
353,0
354,1
355,0
356,0
357,0
358,0
359,0
360,0
361,0
